Planungsstelle;Produkt;Bezeichnung;Deckungskreis;Maünahme;Budget;bewirtschaftende Dienststelle;anordnende Dienststelle;Ansatz 2022;Soll auf Ansatz;Ansatz 2023;Ansatz 2024;Ansatz 2025;Ansatz 2026;VE;Rgerg.2021;Rgerg.2022
1.2.1.01.5291000;1.2.1.01;Aufwendungen für sonstige Dienstleistungen;19;0;01.02.2001;110;110;2.000;0;500;1.000;1.000;1.000;0;3.898,42;0
1.2.1.01.5411000;1.2.1.01;Sonstige Personal- und Versorgungsaufwendungen (Dienstreisen);19;0;01.02.2001;110;110;10.300;0;800;400;500;500;0;0;0
1.2.1.01.5421000;1.2.1.01;Aufwendungen für ehrenamtliche und sonstige Tütigkeit;19;0;01.02.2001;110;110;130.000;106.528;8.000;18.200;10.000;10.000;0;12.740,00;106.528,00
1.2.1.01.5431000;1.2.1.01;Geschüftsaufwendungen;19;0;01.02.2001;110;110;39.700;30.220,30;1.200;46.900;20.000;20.000;0;22.007,00;30.220,30
1.2.1.01.5473100;1.2.1.01;Abgang auf Forderungen;0;0;01.02.2001;220;220;0;0;0;0;0;0;0;0;397,61
1.2.1.01.6481000;1.2.1.01;Einzahlungen aus Kostenerstattungen vom Land;19;0;01.02.2001;110;110;130.000;0;0;0;0;0;0;54.300,00;185.686,32
1.2.1.01.6482000;1.2.1.01;Einzahlungen aus Kostenerstattungen von Gemeinden und Gemeindeverbünden;19;0;01.02.2001;110;110;0;0;0;25.000;20.000;20.000;0;44.473,87;25.091,81
1.2.1.01.7231000;1.2.1.01;Auszahlungen für Mieten und Pachten;19;0;01.02.2001;110;110;4.000;0;0;500;500;500;0;900;900
1.2.1.01.7252000;1.2.1.01;Erwerb geringwertiger Vermügensgegenstünde;19;0;01.02.2001;110;110;9.500;0;0;1.500;1.500;1.500;0;2.343,74;218,77
1.2.1.01.7255000;1.2.1.01;Unterhaltung des sonstigen beweglichen Vermügens;19;0;01.02.2001;110;110;1.500;0;0;1.500;1.500;1.500;0;0;0
1.2.1.01.7291000;1.2.1.01;Auszahlungen für sonstige Dienstleistungen;19;0;01.02.2001;110;110;2.000;0;500;1.000;1.000;1.000;0;2.909,23;989,19
1.2.1.01.7411000;1.2.1.01;Sonstige Personal- und Versorgungsauszahlungen;19;0;01.02.2001;110;110;10.300;0;800;400;500;500;0;0;0
1.2.1.01.7421000;1.2.1.01;Auszahlungen für ehrenamtliche und sonstige Tütigkeit;19;0;01.02.2001;110;110;130.000;0;8.000;18.200;10.000;10.000;0;12.740,00;106.528,00
1.2.1.01.7431000;1.2.1.01;Geschüftsauszahlungen;19;0;01.02.2001;110;110;39.700;0;1.200;46.900;20.000;20.000;0;22.007,00;30.220,30
1.2.1.01/0100.6832000;1.2.1.01;Einz.a.d.Verüuü. v. bewegl. VermGegenst. v. mehr als 150 bis 1000 ? ohne UmStr.;63;100;01.02.2003;110;110;0;150;0;0;0;0;0;0;150
1.2.1.01/0100.7832000;1.2.1.01;Ausz. f.d. Erw. v. beweg. Vermügensgegenstünden v. > 150  bis 1000 ? o. UStr.;63;100;01.02.2003;110;110;0;2.403,84;0;5.000;0;0;0;0;2.403,84
1.2.2.01.4311000;1.2.2.01;Verwaltungsgebühren;0;0;04.04.2001;432;432;41.500;73.258,76;41.500;41.500;41.500;41.500;0;44.331,39;72.091,83
1.2.2.01.4321000;1.2.2.01;Benutzungsgebühren und ühnliche Entgelte;0;0;04.04.2001;432;432;200.000;174.797,53;200.000;200.000;200.000;200.000;0;144.063,48;174.832,93
1.2.2.01.4421000;1.2.2.01;Ertrüge aus dem Verkauf;0;0;04.04.2001;432;432;100;20;0;0;0;0;0;145;20
1.2.2.01.4461000;1.2.2.01;Sonstige privatrechtliche Leistungsentgelte;0;0;04.04.2001;432;432;0;0;0;0;0;0;0;0;0
1.2.2.01.4481000;1.2.2.01;Ertrüge aus Kostenerstattungen vom Land;0;0;04.04.2001;432;432;900;1.549;1.000;1.000;1.000;1.000;0;960,68;1.549,00
1.2.2.01.4484000;1.2.2.01;Ertrüge aus Kostenerstattungen von gesetzlichen Sozialversicherungen;1;0;04.04.2002;110;110;0;8.770,84;0;0;0;0;0;1.635,83;8.770,84
1.2.2.01.4485000;1.2.2.01;Ertr. aus Kostenerstattungen von verbund. Untern.,Sonderverm. und  Beteiligungen;1;0;04.04.2002;110;110;21.300;43.046,44;0;0;0;0;0;42.489,39;43.046,44
1.2.2.01.4486000;1.2.2.01;Ertrüge aus Kostenerstattungen von sonstigen üffentlichen Sonderrechnungen;0;0;04.04.2002;110;110;0;0;0;0;0;0;0;0;0
1.2.2.01.4488000;1.2.2.01;Ertrüge aus Kostenerstattungen von übrigen Bereichen;0;0;04.04.2001;432;432;40.000;25.068,80;40.000;40.000;40.000;40.000;0;49.307,92;24.407,85
1.2.2.01.4534000;1.2.2.01;Ertrüge aus der Auflüsung von sonstigen Sonderposten;0;0;04.04.2001;220;220;100;0;100;100;100;100;0;0;0
1.2.2.01.4561000;1.2.2.01;Buügelder;0;0;04.04.2001;432;432;490.000;559.771,80;490.000;490.000;490.000;490.000;0;400.531,77;559.771,80
1.2.2.01.4591100;1.2.2.01;Ertrüge Wiederaufleben;0;0;04.04.2001;220;220;0;0;0;0;0;0;0;942,25;1.328,58
1.2.2.01.4911000;1.2.2.01;Auüerordentliche Ertrüge;0;0;04.04.2001;432;432;0;52.656,45;0;0;0;0;0;12.759,35;52.656,45
1.2.2.01.4911001;1.2.2.01;Auüerordentliche Ertrüge (Fahrzeuge);0;0;04.04.2001;432;432;0;1.020;0;0;0;0;0;183,83;1.020,00
1.2.2.01.5011000;1.2.2.01;Dienstaufwendungen für Beamte;1;0;04.04.2002;110;110;75.300;90.931,20;73.900;75.800;77.700;79.700;0;71.414,44;90.931,20
1.2.2.01.5012000;1.2.2.01;Dienstaufwendungen für Arbeitnehmer;1;0;04.04.2002;110;110;969.600;995.887,84;1.035.600;1.061.500;1.088.100;1.115.400;0;1.046.327,10;995.887,84
1.2.2.01.5021000;1.2.2.01;Beitrüge zu Versorgungskassen für Beamte;1;0;04.04.2002;110;110;85.100;74.222,50;72.600;74.500;76.400;78.400;0;77.406,81;74.222,50
1.2.2.01.5022000;1.2.2.01;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.04.2002;110;110;40.600;40.955,38;41.400;42.500;43.600;44.700;0;44.087,94;40.955,38
1.2.2.01.5032000;1.2.2.01;Beitrüge zur gesetzlichen Sozialvers. aus Dienstaufwendungen für Arbeitnehmer;1;0;04.04.2002;110;110;194.900;193.718,66;207.900;213.100;218.500;224.000;0;202.422,72;193.718,66
1.2.2.01.5041000;1.2.2.01;Beihilfen und Unterstützungsleistungen für Beschüftigte - U2;1;0;04.04.2002;110;110;4.600;5.546,12;5.700;5.900;6.100;6.300;0;4.816,84;5.546,12
1.2.2.01.5231000;1.2.2.01;Aufwendungen für Mieten und Pachten;28;0;04.04.2001;432;432;45.000;41.083,56;45.000;47.500;50.000;50.000;0;41.083,56;41.083,56
1.2.2.01.5241000;1.2.2.01;Bewirtschaftung der Grundstücke und baulichen Anlagen;28;0;04.04.2001;432;432;22.500;20.294,23;25.000;25.000;25.000;25.000;0;18.475,74;20.294,23
1.2.2.01.5251000;1.2.2.01;Haltung von Fahrzeugen;28;0;04.04.2001;432;432;4.000;1.863,04;3.500;3.500;3.500;3.500;0;1.932,83;1.863,04
1.2.2.01.5252000;1.2.2.01;Erwerb geringwertiger Vermügensgegenstünde;28;0;04.04.2001;432;432;500;1.218,03;500;500;500;500;0;420,12;1.218,03
1.2.2.01.5255000;1.2.2.01;Unterhaltung des sonstigen beweglichen Vermügens;28;0;04.04.2001;432;432;1.000;112,9;500;500;500;500;0;0;112,9
1.2.2.01.5261000;1.2.2.01;Besondere Aufwendungen für Beschüftigte;28;0;04.04.2001;432;432;7.500;6.597,68;7.500;7.500;7.500;7.500;0;4.992,21;6.597,68
1.2.2.01.5271000;1.2.2.01;Besondere Verwaltungs- und Betriebsaufwendungen;28;0;04.04.2001;432;432;4.500;5.099,46;7.000;7.000;7.000;7.000;0;2.047,23;5.099,46
1.2.2.01.5291000;1.2.2.01;Aufwendungen für sonstige Dienstleistungen;28;0;04.04.2001;432;432;135.000;77.552,35;129.000;129.000;129.000;129.000;0;104.872,55;77.552,35
1.2.2.01.5411000;1.2.2.01;Sonstige Personal- und Versorgungsaufwendungen (Dienstreisen);2;0;04.04.2001;110;110;0;303,5;0;0;0;0;0;12;303,5
1.2.2.01.5429000;1.2.2.01;Sonstige Aufwend.f.d.Inanspruchn.v. Rechten u.Diensten (Mitgliedsbeitrüge);28;0;04.04.2001;432;432;600;461;600;600;600;600;0;588;461
1.2.2.01.5431000;1.2.2.01;Geschüftsaufwendungen;28;0;04.04.2001;432;432;2.000;269,38;2.000;2.000;2.000;2.000;0;625,33;269,38
1.2.2.01.5431100;1.2.2.01;Aufwendungen für Sachverstündigen-,Gerichts-und ühnliche Kosten;28;0;04.04.2001;432;432;1.500;511,52;1.500;1.500;1.500;1.500;0;517,74;511,52
1.2.2.01.5441000;1.2.2.01;Steuern, Versicherungen, Schadensfülle;10;0;04.04.2001;110;110;0;526,6;0;0;0;0;0;1.038,23;526,6
1.2.2.01.5450001;1.2.2.01;Erstatt. für die Aufwendungen von Dritten aus lfd. Verwaltungstüt. an den Bund;28;0;04.04.2001;432;432;1.000;592,76;1.000;1.000;1.000;1.000;0;600,88;592,76
1.2.2.01.5458000;1.2.2.01;Erstatt. für die Aufwend. von Dritten aus lfd. Verwaltungstüt. an übrige Ber.;28;0;04.04.2001;432;432;5.500;2.680;3.500;3.500;3.500;3.500;0;2.430,25;2.680,00
1.2.2.01.5471000;1.2.2.01;Wertminderungen bei Sachanlagen;28;0;04.04.2001;432;432;0;0;0;0;0;0;0;0;0
1.2.2.01.5473100;1.2.2.01;Abgang auf Forderungen;0;0;04.04.2001;220;220;0;0;0;0;0;0;0;15.557,27;5.912,56
1.2.2.01.5473200;1.2.2.01;Niederschlagung;0;0;04.04.2001;220;220;0;0;0;0;0;0;0;1.419,95;0
1.2.2.01.5711000;1.2.2.01;Abschreibungen auf immaterielle Vermügensgegenstünde und Sachanlagen;0;0;04.04.2004;220;220;10.200;0;1.000;1.000;1.000;1.000;0;0;0
1.2.2.01.5811200;1.2.2.01;Aufwendungen aus internen Leistungsbeziehungen Bauhof;4;0;04.04.2001;432;432;30.000;23.319,16;30.000;30.000;30.000;30.000;0;27.451,62;23.319,16
1.2.2.01.5811300;1.2.2.01;Aufwendungen aus internen Leistungsbeziehungen Grünanlagen;5;0;04.04.2001;432;432;25.000;25.041,17;25.000;25.000;25.000;25.000;0;28.512,63;25.041,17
1.2.2.01.5811400;1.2.2.01;Aufwendungen aus internen Leistungsbeziehungen Feuerwehr;6;0;04.04.2001;432;432;0;0;0;0;0;0;0;0;0
1.2.2.01.5911000;1.2.2.01;Auüerordentliche Aufwendungen;0;0;04.04.2001;432;432;0;81.698,07;0;0;0;0;0;200.937,99;81.698,07
1.2.2.01.6311000;1.2.2.01;Verwaltungsgebühren;0;0;04.04.2001;432;432;41.500;0;41.500;41.500;41.500;41.500;0;44.776,70;68.372,39
1.2.2.01.6321000;1.2.2.01;Benutzungsgebühren und ühnliche Entgelte;0;0;04.04.2001;432;432;200.000;0;200.000;200.000;200.000;200.000;0;144.825,58;169.778,73
1.2.2.01.6421000;1.2.2.01;Einzahlungen aus dem Verkauf von Vorrüten;0;0;04.04.2001;432;432;100;0;0;0;0;0;0;145;20
1.2.2.01.6461000;1.2.2.01;Sonstige privatrechtliche Leistungsentgelte;0;0;04.04.2001;432;432;0;0;0;0;0;0;0;0;0
1.2.2.01.6481000;1.2.2.01;Einzahlungen aus Kostenerstattungen vom Land;0;0;04.04.2001;432;432;900;0;1.000;1.000;1.000;1.000;0;960,68;1.090,54
1.2.2.01.6484000;1.2.2.01;Einzahlungen aus Kostenerstattungen von gesetzlichen Sozialversicherungen;1;0;04.04.2002;110;110;0;0;0;0;0;0;0;1.635,83;7.526,91
1.2.2.01.6485000;1.2.2.01;Einzahl. aus Kostenerstattungen von verbund. Untern., Sondervermü. und Beteilig.;1;0;04.04.2001;110;110;21.300;0;0;0;0;0;0;42.489,39;43.046,44
1.2.2.01.6486000;1.2.2.01;Einzahlungen aus Kostenerstattungen von sonstigen üffentlichen Sonderrechnungen;0;0;04.04.2002;110;110;0;0;0;0;0;0;0;0;0
1.2.2.01.6488000;1.2.2.01;Einzahlungen aus Kostenerstattungen von übrigen Bereichen;0;0;04.04.2001;432;432;40.000;0;40.000;40.000;40.000;40.000;0;47.552,41;21.371,73
1.2.2.01.6561000;1.2.2.01;Buügelder;0;0;04.04.2001;432;432;490.000;0;490.000;490.000;490.000;490.000;0;415.337,78;558.453,19
1.2.2.01.6591000;1.2.2.01;Andere sonstige Einzahlungen aus laufender Verwaltungstütigkeit;0;0;04.04.2001;432;432;0;0;0;0;0;0;0;18.039,54;53.676,45
1.2.2.01.7011000;1.2.2.01;Dienstauszahlungen und dgl. an Beamte;1;0;04.04.2002;110;110;75.300;0;73.900;75.800;77.700;79.700;0;71.414,44;90.931,20
1.2.2.01.7012000;1.2.2.01;Dienstauszahlungen und dgl. an Arbeitnehmer;1;0;04.04.2002;110;110;969.600;0;1.035.600;1.061.500;1.088.100;1.115.400;0;1.046.327,10;996.488,42
1.2.2.01.7021000;1.2.2.01;Beitrüge zu Versorgungskassen für Beamte;1;0;04.04.2002;110;110;85.100;0;72.600;74.500;76.400;78.400;0;74.706,81;74.222,50
1.2.2.01.7022000;1.2.2.01;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.04.2002;110;110;40.600;0;41.400;42.500;43.600;44.700;0;44.087,94;40.955,38
1.2.2.01.7032000;1.2.2.01;Beitrüge zur gesetzlichen Sozialver.aus DienstAusz und dgl. für Arbeitnehmer;1;0;04.04.2002;110;110;194.900;0;207.900;213.100;218.500;224.000;0;202.422,72;193.718,66
1.2.2.01.7041000;1.2.2.01;Beihilfen, Unterstützungsleistungen für Beschüftigte;1;0;04.04.2002;110;110;4.600;0;5.700;5.900;6.100;6.300;0;4.816,84;5.546,12
1.2.2.01.7231000;1.2.2.01;Auszahlungen für Mieten und Pachten;28;0;04.04.2001;432;432;45.000;0;45.000;47.500;50.000;50.000;0;44.432,01;41.083,56
1.2.2.01.7241000;1.2.2.01;Bewirtschaftung der Grundstücke und baulichen Anlagen;28;0;04.04.2001;432;432;22.500;0;25.000;25.000;25.000;25.000;0;23.320,23;17.621,10
1.2.2.01.7251000;1.2.2.01;Haltung von Fahrzeugen;28;0;04.04.2001;432;432;4.000;0;3.500;3.500;3.500;3.500;0;1.906,24;1.852,93
1.2.2.01.7252000;1.2.2.01;Erwerb geringwertiger Vermügensgegenstünde;28;0;04.04.2001;432;432;500;0;500;500;500;500;0;420,12;1.218,03
1.2.2.01.7255000;1.2.2.01;Unterhaltung des sonstigen beweglichen Vermügens;28;0;04.04.2001;432;432;1.000;0;500;500;500;500;0;0;112,9
1.2.2.01.7261000;1.2.2.01;Besondere zahlungswirksame Aufwendungen für Beschüftigte;28;0;04.04.2001;432;432;7.500;0;7.500;7.500;7.500;7.500;0;4.992,21;6.597,68
1.2.2.01.7271000;1.2.2.01;Besondere Verwaltungs- und Betriebsauszahlungen;28;0;04.04.2001;432;432;4.500;0;7.000;7.000;7.000;7.000;0;2.341,46;5.099,46
1.2.2.01.7291000;1.2.2.01;Auszahlungen für sonstige Dienstleistungen;28;0;04.04.2001;432;432;135.000;0;129.000;129.000;129.000;129.000;0;104.304,41;81.007,43
1.2.2.01.7411000;1.2.2.01;Sonstige Personal- und Versorgungsauszahlungen;2;0;04.04.2001;110;110;0;0;0;0;0;0;0;12;303,5
1.2.2.01.7429000;1.2.2.01;Sonstige Auszahl. f. d. Inanspruchnahme von Rechten u.Diensten (Mitgliedsbeitr.);28;0;04.04.2001;432;432;600;0;600;600;600;600;0;588;461
1.2.2.01.7431000;1.2.2.01;Geschüftsauszahlungen;28;0;04.04.2001;432;432;2.000;0;2.000;2.000;2.000;2.000;0;625,33;269,38
1.2.2.01.7431100;1.2.2.01;Auszahlungen für Sachverstündigen-,Gerichts-und ühnl.Kosten;28;0;04.04.2001;432;432;1.500;0;1.500;1.500;1.500;1.500;0;517,74;511,52
1.2.2.01.7441000;1.2.2.01;Steuern, Versicherungen, Schadensfülle;10;0;04.04.2001;110;110;0;0;0;0;0;0;0;1.038,23;526,6
1.2.2.01.7450001;1.2.2.01;Erstattungen für die Auszahl. von Dritten aus lfd. Verwaltungstüt. an den Bund;28;0;04.04.2001;432;432;1.000;0;1.000;1.000;1.000;1.000;0;600,88;592,76
1.2.2.01.7458000;1.2.2.01;Erstatt. für die Auszahl. von Dritten aus lfd. Verwaltungstüt. an übrige Ber.;28;0;04.04.2001;432;432;5.500;0;3.500;3.500;3.500;3.500;0;2.430,25;2.680,00
1.2.2.01.7599000;1.2.2.01;Sonstige Finanzauszahlungen;0;0;04.04.2001;432;432;0;0;0;0;0;0;0;181.462,23;118.263,03
1.2.2.01.8117000;1.2.2.01;Auszahlung interne Leistungen;0;0;04.04.2001;432;432;55.000;0;55.000;55.000;55.000;55.000;0;55.964,25;48.360,33
1.2.2.01/0300.6818000;1.2.2.01;Einz. a. Zuschüssen f. Investitionen u.Investitionsfürderm. von übr. Bereichen;68;300;04.04.2003;432;432;0;0;0;0;0;0;0;0;0
1.2.2.01/0300.7831000;1.2.2.01;Auszahl. f.d. Erw. von bewegl. Vermügengeg.st. von mehr als 1000 Euro ohne UStr.;68;300;04.04.2003;432;432;0;0;0;0;0;0;0;0;0
1.2.2.01/0400.6818000;1.2.2.01;Einz. a. Zuschüssen f. Investitionen u.Investitionsfürderm. von übr. Bereichen;68;400;04.04.2003;432;432;0;0;0;0;0;0;0;0;0
1.2.2.01/0400.7831000;1.2.2.01;Auszahl. f.d. Erw. von bewegl. Vermügengeg.st. von mehr als 1000 Euro ohne UStr.;68;400;04.04.2003;432;432;0;0;0;0;0;0;0;0;0
1.2.2.02.4311000;1.2.2.02;Verwaltungsgebühren;29;0;04.04.2001;434;434;165.000;256.366,61;200.000;200.000;200.000;200.000;0;210.202,20;256.366,61
1.2.2.02.4481000;1.2.2.02;Ertrüge aus Kostenerstattungen vom Land;0;0;04.04.2002;110;110;0;746,92;0;0;0;0;0;0;746,92
1.2.2.02.4483000;1.2.2.02;Ertrüge aus Kostenerstattungen von Zweckverbünden;0;0;04.04.2001;434;434;1.100;481,6;0;0;0;0;0;320,2;481,6
1.2.2.02.4483019;1.2.2.02;19% USt Ertrüge aus Kostenerstattungen von Zweckverbünden;0;0;04.04.2001;434;434;0;0;1.300;1.300;1.100;1.100;0;0;0
1.2.2.02.4561000;1.2.2.02;Buügelder;0;0;04.04.2001;434;434;2.500;2.115;2.000;2.000;2.000;2.000;0;1.555,00;2.115,00
1.2.2.02.5012000;1.2.2.02;Dienstaufwendungen für Arbeitnehmer;1;0;04.04.2002;110;110;331.200;289.570,35;303.100;310.700;318.400;326.400;0;341.956,42;289.570,35
1.2.2.02.5022000;1.2.2.02;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.04.2002;110;110;14.100;13.142,22;12.300;12.600;13.000;13.400;0;12.945,12;13.142,22
1.2.2.02.5032000;1.2.2.02;Beitrüge zur gesetzlichen Sozialvers. aus Dienstaufwendungen für Arbeitnehmer;1;0;04.04.2002;110;110;66.700;63.311,21;61.000;62.600;64.200;65.800;0;65.176,53;63.311,21
1.2.2.02.5041000;1.2.2.02;Beihilfen und Unterstützungsleistungen für Beschüftigte - U2;1;0;04.04.2002;110;110;1.600;1.637,38;1.700;1.800;1.900;2.000;0;1.646,29;1.637,38
1.2.2.02.5271000;1.2.2.02;Besondere Verwaltungs- und Betriebsaufwendungen;30;0;04.04.2001;434;434;900;234,37;900;900;900;900;0;671,1;234,37
1.2.2.02.5318000;1.2.2.02;Zuschüsse an übrige Bereiche;30;0;04.04.2001;434;434;25.000;14.600;20.000;20.000;20.000;20.000;0;15.400,00;14.600,00
1.2.2.02.5411000;1.2.2.02;Sonstige Personal- und Versorgungsaufwendungen (Dienstreisen);2;0;04.04.2001;110;110;0;0;0;0;0;0;0;0;0
1.2.2.02.5431000;1.2.2.02;Geschüftsaufwendungen;30;0;04.04.2001;434;434;5.000;4.216,93;5.000;5.000;5.000;5.000;0;3.711,23;4.216,93
1.2.2.02.5450001;1.2.2.02;Erstatt. für die Aufwendungen von Dritten aus lfd. Verwaltungstüt. an den Bund;29;0;04.04.2001;434;434;115.000;164.143,12;135.000;135.000;135.000;135.000;0;124.749,56;164.143,12
1.2.2.02.5473100;1.2.2.02;Abgang auf Forderungen;0;0;04.04.2001;220;220;0;0;0;0;0;0;0;13;0
1.2.2.02.5711000;1.2.2.02;Abschreibungen auf immaterielle Vermügensgegenstünde und Sachanlagen;0;0;04.04.2004;220;220;0;0;0;0;0;0;0;0;0
1.2.2.02.6311000;1.2.2.02;Verwaltungsgebühren;29;0;04.04.2001;434;434;165.000;0;200.000;200.000;200.000;200.000;0;208.197,90;255.536,61
1.2.2.02.6481000;1.2.2.02;Einzahlungen aus Kostenerstattungen vom Land;0;0;04.04.2002;110;110;0;0;0;0;0;0;0;0;746,92
1.2.2.02.6483000;1.2.2.02;Einzahlungen aus Kostenerstattungen von Zweckverbünden;0;0;04.04.2001;434;434;1.100;0;0;0;0;0;0;380,6;429,7
1.2.2.02.6483019;1.2.2.02;19% USt Ert. KostErst v Zweckv;0;0;04.04.2001;434;434;0;0;1.300;1.300;1.100;1.100;0;0;0
1.2.2.02.6561000;1.2.2.02;Buügelder;0;0;04.04.2001;434;434;2.500;0;2.000;2.000;2.000;2.000;0;1.555,00;2.115,00
1.2.2.02.7012000;1.2.2.02;Dienstauszahlungen und dgl. an Arbeitnehmer;1;0;04.04.2002;110;110;331.200;0;303.100;310.700;318.400;326.400;0;321.190,45;289.570,35
1.2.2.02.7022000;1.2.2.02;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.04.2002;110;110;14.100;0;12.300;12.600;13.000;13.400;0;12.945,12;13.142,22
1.2.2.02.7032000;1.2.2.02;Beitrüge zur gesetzlichen Sozialver.aus DienstAusz und dgl. für Arbeitnehmer;1;0;04.04.2002;110;110;66.700;0;61.000;62.600;64.200;65.800;0;65.176,53;63.311,21
1.2.2.02.7041000;1.2.2.02;Beihilfen, Unterstützungsleistungen für Beschüftigte;1;0;04.04.2002;110;110;1.600;0;1.700;1.800;1.900;2.000;0;1.646,29;1.637,38
1.2.2.02.7271000;1.2.2.02;Besondere Verwaltungs- und Betriebsauszahlungen;30;0;04.04.2001;434;434;900;0;900;900;900;900;0;671,1;234,37
1.2.2.02.7318000;1.2.2.02;Zuschüsse an übrige Bereiche;30;0;04.04.2001;434;434;25.000;0;20.000;20.000;20.000;20.000;0;15.200,00;14.600,00
1.2.2.02.7411000;1.2.2.02;Sonstige Personal- und Versorgungsauszahlungen;2;0;04.04.2001;110;110;0;0;0;0;0;0;0;0;0
1.2.2.02.7431000;1.2.2.02;Geschüftsauszahlungen;30;0;04.04.2001;434;434;5.000;0;5.000;5.000;5.000;5.000;0;3.772,48;4.102,69
1.2.2.02.7450001;1.2.2.02;Erstattungen für die Auszahl. von Dritten aus lfd. Verwaltungstüt. an den Bund;29;0;04.04.2001;434;434;115.000;0;135.000;135.000;135.000;135.000;0;124.320,19;161.235,10
1.2.2.02/0200.7831000;1.2.2.02;Auszahl. f.d. Erw. von bewegl. Vermügengeg.st. von mehr als 1000 Euro ohne UStr.;68;200;04.04.2003;432;432;0;0;0;0;0;0;0;0;0
1.2.2.03.4311000;1.2.2.03;Verwaltungsgebühren;0;0;04.04.2001;433;433;60.000;73.345,65;60.000;75.000;90.000;90.000;0;68.001,35;73.345,65
1.2.2.03.4421000;1.2.2.03;Ertrüge aus dem Verkauf (Stammbücher);0;0;04.04.2001;433;433;4.500;3.000;0;0;0;0;0;5.000,00;3.000,00
1.2.2.03.4421007;1.2.2.03;7 % USt Ertrüge aus dem Verkauf (Stammbücher);0;0;04.04.2001;433;433;0;0;4.500;4.500;7.000;7.000;0;0;0
1.2.2.03.4481000;1.2.2.03;Ertrüge aus Kostenerstattungen vom Land;0;0;04.04.2002;110;110;0;225,29;0;0;0;0;0;0;225,29
1.2.2.03.4486000;1.2.2.03;Ertrüge aus Kostenerstattungen von sonstigen üffentlichen Sonderrechnungen;0;0;04.04.2002;110;110;0;0;0;0;0;0;0;0;0
1.2.2.03.5011000;1.2.2.03;Dienstaufwendungen für Beamte;1;0;04.04.2002;110;110;50.100;59.056,31;48.900;50.200;51.500;52.800;0;47.800,72;59.056,31
1.2.2.03.5012000;1.2.2.03;Dienstaufwendungen für Arbeitnehmer;1;0;04.04.2002;110;110;158.400;179.213,45;221.200;226.800;232.500;238.400;0;160.373,71;179.213,45
1.2.2.03.5021000;1.2.2.03;Beitrüge zu Versorgungskassen für Beamte;1;0;04.04.2002;110;110;26.700;26.559,26;26.000;26.700;27.500;28.200;0;24.048,95;26.559,26
1.2.2.03.5022000;1.2.2.03;Beitrüge zu Versorgungskassen für Arbeitnehmer;1;0;04.04.2002;110;110;6.600;8.096,64;8.700;9.000;9.300;9.600;0;5.675,52;8.096,64
1.2.2.03.5032000;1.2.2.03;Beitrüge zur gesetzlichen Sozialvers. aus Dienstaufwendungen für Arbeitnehmer;1;0;04.04.2002;110;110;31.700;38.085,13;44.400;45.500;46.600;47.900;0;26.036,94;38.085,13
1.2.2.03.5041000;1.2.2.03;Beihilfen und Unterstützungsleistungen für Beschüftigte - U2;1;0;04.04.2002;110;110;800;992,07;1.200;1.300;1.400;1.500;0;623,27;992,07
1.2.2.03.5231000;1.2.2.03;Aufwendungen für Mieten und Pachten;31;0;04.04.2001;433;433;22.000;6.100;11.000;7.000;7.000;7.000;0;1.800,00;6.100,00
1.2.2.03.5252000;1.2.2.03;Erwerb geringwertiger Vermügensgegenstünde;31;0;04.04.2001;433;433;200;154,14;200;200;200;200;0;0;154,14
1.2.2.03.5255000;1.2.2.03;Unterhaltung des sonstigen beweglichen Vermügens;31;0;04.04.2001;433;433;400;0;1.000;1.000;1.000;1.000;0;44,78;0
1.2.2.03.5271000;1.2.2.03;Besondere Verwaltungs- und Betriebsaufwendungen;31;0;04.04.2001;433;433;1.100;861,99;1.200;1.200;1.300;1.300;0;600;861,99
1.2.2.03.5281000;1.2.2.03;Aufwendungen für den Verbrauch von Vorrüten (Stammbücher);31;0;04.04.2001;433;433;4.500;4.228,07;4.500;4.500;7.000;7.000;0;6.629,79;4.228,07
1.2.2.03.5291000;1.2.2.03;Aufwendungen für sonstige Dienstleistungen;31;0;04.04.2001;433;433;300;0;300;300;300;300;0;0;0
1.2.2.03.5411000;1.2.2.03;Sonstige Personal- und Versorgungsaufwendungen (Dienstreisen);2;0;04.04.2001;110;110;0;99,75;0;0;0;0;0;100,45;99,75
1.2.2.03.5429000;1.2.2.03;Sonstige Aufwend.f.d.Inanspruchn.v. Rechten u.Diensten (Mitgliedsbeitrüge);31;0;04.04.2001;433;433;300;280;300;300;300;300;0;280;280
1.2.2.03.5431000;1.2.2.03;Geschüftsaufwendungen;31;0;04.04.2001;433;433;1.900;2.694,04;2.500;2.500;2.500;2.500;0;1.318,98;2.694,04
1.2.2.03.5473100;1.2.2.03;Abgang auf Forderungen;0;0;04.04.2001;110;220;0;0;0;0;0;0;0;0;0
1.2.2.03.5711000;1.2.2.03;Abschreibungen auf immaterielle Vermügensgegenstünde und Sachanlagen;0;0;04.04.2004;220;220;900;0;100;100;100;100;0;0;0
1.2.2.03.6311000;1.2.2.03;Verwaltungsgebühren;0;0;04.04.2001;433;433;60.000;0;60.000;75.000;90.000;90.000;0;67.981,35;73.365,65
